Country,Area,Birth rate, Current account balance ,Death rate,Electricity consumption, Electricity production , Exports , GDP , GDP per capita ,GDP real growth rate, Highways , Imports ,Industrial production growth rate,Infant mortality rate,Inflation rate ,Internet users,Investment,Labor force,Life expectancy at birth,Military expenditures,Natural gas consumption,Oil consumption,Population,Public debt,Railways,Reserves of foreign exchange & gold,Total fertility rate,Unemployment rate
Venezuela,"912,050",18.91," $14,590,000,000.00 ",4.9,"89,300,000,000"," 89,700,000,000.00 "," $35,840,000,000.00 "," $145,200,000,000.00 "," $5,800.00 ",16.8," 96,155 "," $14,980,000,000.00 ",12.30,22.20,22.40,1274400.00,12.90,12250000.00,74.31,1.50,29400000000.00,500000.00,25375281.00,43.10,682.00,25750000000.00,2.26,17.10
Tunisia,"163,610",15.5," $71,850,000.00 ",5.09,"10,050,000,000"," 10,720,000,000.00 "," $9,926,000,000.00 "," $70,880,000,000.00 "," $7,100.00 ",5.1," 18,997 "," $11,520,000,000.00 ",4.40,24.77,4.10,630000.00,24.50,3550000.00,74.89,1.50,3830000000.00,87000.00,10074951.00,59.20,2152.00,3509000000.00,1.75,13.80
Germany,"357,021",8.33," $73,590,000,000.00 ",10.55,"519,500,000,000"," 560,000,000,000.00 "," $893,300,000,000.00 "," $2,362,000,000,000.00 "," $28,700.00 ",1.7," 230,735 "," $716,700,000,000.00 ",2.20,4.16,1.60,39000000.00,17.60,42630000.00,78.65,1.50,99550000000.00,2891000.00,82431390.00,65.80,46039.00,96840000000.00,1.39,10.60
Denmark,"43,094",11.36," $6,529,000,000.00 ",10.43,"31,630,000,000"," 36,380,000,000.00 "," $73,060,000,000.00 "," $174,400,000,000.00 "," $32,200.00 ",2.1," 71,847 "," $63,450,000,000.00 ",1.70,4.56,1.40,2756000.00,19.80,2870000.00,77.62,1.50,5280000000.00,218000.00,5432335.00,42.50,3002.00,37980000000.00,1.74,6.20
Albania,"28,748",15.08," $(504,000,000.00)",5.12,"6,760,000,000"," 5,680,000,000.00 "," $552,400,000.00 "," $17,460,000,000.00 "," $4,900.00 ",5.6," 18,000 "," $2,076,000,000.00 ",3.10,21.52,3.20,30000.00,18.40,1090000.00,77.24,1.49,30000000.00,7500.00,3563112.00,0.00,447.00,1206000000.00,2.04,14.80
Papua New Guinea,"462,840",29.95," $29,150,000.00 ",7.37,"1,561,000,000"," 1,679,000,000.00 "," $2,437,000,000.00 "," $11,990,000,000.00 "," $2,200.00 ",0.9," 19,600 "," $1,353,000,000.00 ",0.00,51.45,4.20,75000.00,13.60,3320000.00,64.93,1.40,110000000.00,15000.00,5545268.00,59.30,0.00,635800000.00,3.96,0.00
Swaziland,"17,363",27.72," $(82,400,000.00)",25.26,"1,173,000,000"," 402,000,000.00 "," $900,100,000.00 "," $6,018,000,000.00 "," $5,100.00 ",2.5," 3,107 "," $1,140,000,000.00 ",3.70,69.27,5.40,27000.00,23.60,383200.00,35.65,1.40,0.00,3500.00,1173900.00,0.00,301.00,320500000.00,3.70,34.00
Honduras,"112,090",30.38," $258,300,000.00 ",6.87,"3,771,000,000"," 3,626,000,000.00 "," $1,457,000,000.00 "," $18,790,000,000.00 "," $2,800.00 ",4.2," 13,603 "," $3,332,000,000.00 ",7.70,29.32,7.00,168600.00,24.10,2470000.00,65.60,1.40,0.00,29000.00,6975204.00,74.10,699.00,1464000000.00,3.87,28.50
Kyrgyzstan,"198,500",22.48," $(87,920,000.00)",7.13,"10,210,000,000"," 11,720,000,000.00 "," $646,700,000.00 "," $8,495,000,000.00 "," $1,700.00 ",6," 18,500 "," $775,100,000.00 ",6.00,35.64,3.20,152000.00,17.00,2700000.00,68.16,1.40,2016000000.00,20000.00,5146281.00,0.00,470.00,498700000.00,2.70,18.00
Peru,"1,285,220",20.87," $(30,000,000.00)",6.26,"20,220,000,000"," 22,880,000,000.00 "," $12,300,000,000.00 "," $155,300,000,000.00 "," $5,600.00 ",4.5," 78,230 "," $9,600,000,000.00 ",5.20,31.94,3.80,2850000.00,17.80,11000000.00,69.53,1.40,910000000.00,161000.00,27925628.00,44.10,3462.00,12700000000.00,2.56,9.60
Ukraine,"603,700",10.49," $4,584,000,000.00 ",16.42,"132,000,000,000"," 180,000,000,000.00 "," $32,910,000,000.00 "," $299,100,000,000.00 "," $6,300.00 ",12," 169,679 "," $31,450,000,000.00 ",16.50,20.34,12.00,3800000.00,18.80,21110000.00,66.85,1.40,79860000000.00,303000.00,47425336.00,24.70,22473.00,11330000000.00,1.40,3.50
Belarus,"207,600",10.83," $(1,119,000,000.00)",14.15,"34,300,000,000"," 30,000,000,000.00 "," $11,470,000,000.00 "," $70,500,000,000.00 "," $6,800.00 ",6.4," 79,990 "," $13,570,000,000.00 ",4.00,13.37,17.40,1391900.00,21.80,4305000.00,68.72,1.40,18800000000.00,285000.00,10300483.00,0.00,5523.00,770200000.00,1.39,2.00
Burkina Faso,"274,200",44.17," $(471,700,000.00)",18.86,"335,700,000"," 361,000,000.00 "," $418,600,000.00 "," $15,740,000,000.00 "," $1,200.00 ",4.8," 12,506 "," $866,300,000.00 ",14.00,97.57,2.40,48000.00,29.10,5000000.00,43.92,1.30,0.00,8000.00,13925313.00,0.00,622.00,474900000.00,6.23,0.00
Kenya,"582,650",40.13," $(459,200,000.00)",14.65,"4,337,000,000"," 4,475,000,000.00 "," $2,589,000,000.00 "," $34,680,000,000.00 "," $1,100.00 ",2.2," 63,942 "," $4,190,000,000.00 ",2.60,61.47,9.00,400000.00,14.70,11400000.00,47.99,1.30,0.00,57000.00,33829590.00,74.30,2778.00,1500000000.00,4.96,40.00
Argentina,"2,766,890",16.9," $5,473,000,000.00 ",7.56,"81,650,000,000"," 81,390,000,000.00 "," $33,780,000,000.00 "," $483,500,000,000.00 "," $12,400.00 ",8.3," 215,471 "," $22,060,000,000.00 ",12.00,15.18,6.10,4100000.00,18.30,15040000.00,75.91,1.30,31100000000.00,486000.00,39537943.00,118.00,34091.00,19470000000.00,2.19,14.80
Belgium,"30,528",10.48," $11,400,000,000.00 ",10.22,"78,820,000,000"," 76,580,000,000.00 "," $255,700,000,000.00 "," $316,200,000,000.00 "," $30,600.00 ",2.6," 149,028 "," $235,000,000,000.00 ",3.50,4.68,1.90,3400000.00,19.10,4750000.00,78.62,1.30,15500000000.00,595100.00,10364388.00,96.20,3518.00,14450000000.00,1.64,12.00
Madagascar,"587,040",41.66," $(281,900,000.00)",11.35,"781,400,000"," 840,200,000.00 "," $868,200,000.00 "," $14,560,000,000.00 ", $800.00 ,5.5," 49,827 "," $1,147,000,000.00 ",3.00,76.83,7.50,70500.00,14.70,7300000.00,56.95,1.20,0.00,13000.00,18040341.00,0.00,732.00,500300000.00,5.66,0.00
Cote d'Ivoire,"322,460",35.51," $(421,500,000.00)",14.94,"2,976,000,000"," 4,759,000,000.00 "," $5,124,000,000.00 "," $24,780,000,000.00 "," $1,500.00 ",-1," 50,400 "," $3,360,000,000.00 ",15.00,90.83,1.40,90000.00,11.30,6700000.00,48.62,1.20,1350000000.00,32000.00,17298040.00,74.80,660.00,1950000000.00,4.58,13.00
Spain,"504,782",10.1," $(30,890,000,000.00)",9.63,"218,400,000,000"," 229,000,000,000.00 "," $172,500,000,000.00 "," $937,600,000,000.00 "," $23,300.00 ",2.6," 664,852 "," $222,000,000,000.00 ",3.00,4.42,3.20,9789000.00,25.40,19330000.00,79.52,1.20,17960000000.00,1497000.00,40341462.00,53.20,14268.00,19700000000.00,1.28,10.40
Latvia,"64,589",9.04," $(1,251,000,000.00)",13.7,"5,829,000,000"," 4,547,000,000.00 "," $3,569,000,000.00 "," $26,530,000,000.00 "," $11,500.00 ",7.6," 60,472 "," $5,970,000,000.00 ",8.50,9.55,6.00,936000.00,26.10,1170000.00,71.05,1.20,1700000000.00,44000.00,2290237.00,11.80,2303.00,1650000000.00,1.26,8.80
Dominican Republic,"48,730",23.28," $762,200,000.00 ",7.35,"8,912,000,000"," 9,583,000,000.00 "," $5,446,000,000.00 "," $55,680,000,000.00 "," $6,300.00 ",1.7," 12,600 "," $8,093,000,000.00 ",2.00,32.38,55.00,500000.00,18.90,0.00,67.26,1.10,0.00,129000.00,8950034.00,61.10,1743.00,426000000.00,2.86,17.00
Panama,"78,200",19.96," $(469,600,000.00)",6.54,"4,473,000,000"," 4,873,000,000.00 "," $5,699,000,000.00 "," $20,570,000,000.00 "," $6,900.00 ",6," 11,643 "," $7,164,000,000.00 ",5.40,20.47,2.00,120000.00,25.00,1320000.00,71.94,1.10,0.00,40520.00,3039150.00,69.20,355.00,1076000000.00,2.45,12.60
Canada,"9,984,670",10.84," $28,200,000,000.00 ",7.73,"487,300,000,000"," 548,900,000,000.00 "," $315,600,000,000.00 "," $1,023,000,000,000.00 "," $31,500.00 ",2.4," 1,408,800 "," $256,100,000,000.00 ",2.00,4.75,1.90,16110000.00,19.40,17370000.00,80.10,1.10,55800000000.00,2200000.00,32805041.00,0.00,48909.00,36270000000.00,1.61,7.00
El Salvador,"21,040",27.04," $(880,500,000.00)",5.85,"4,450,000,000"," 4,158,000,000.00 "," $3,249,000,000.00 "," $32,350,000,000.00 "," $4,900.00 ",1.8," 10,029 "," $5,968,000,000.00 ",0.70,25.10,5.40,550000.00,16.60,2750000.00,71.22,1.10,0.00,39000.00,6704932.00,41.70,283.00,1888000000.00,3.16,6.30
Philippines,"300,000",25.31," $3,600,000,000.00 ",5.47,"46,050,000,000"," 52,860,000,000.00 "," $38,630,000,000.00 "," $430,600,000,000.00 "," $5,000.00 ",5.9," 202,124 "," $37,500,000,000.00 ",5.00,23.51,5.50,3500000.00,17.00,35860000.00,69.91,1.00,25000000.00,338000.00,87857473.00,74.20,897.00,16050000000.00,3.16,11.70
Japan,"377,835",9.47," $170,200,000,000.00 ",8.95,"971,000,000,000"," 1,044,000,000,000.00 "," $538,800,000,000.00 "," $3,745,000,000,000.00 "," $29,400.00 ",2.9," 1,171,647 "," $401,800,000,000.00 ",6.60,3.26,-0.10,57200000.00,24.00,66970000.00,81.15,1.00,80420000000.00,5290000.00,127417244.00,164.30,23705.00,664600000000.00,1.39,4.70
New Zealand,"268,680",13.9," $(3,647,000,000.00)",7.53,"35,710,000,000"," 38,390,000,000.00 "," $19,850,000,000.00 "," $92,510,000,000.00 "," $23,200.00 ",4.8," 92,382 "," $19,770,000,000.00 ",5.90,5.85,2.40,2110000.00,22.40,2050000.00,78.66,1.00,6504000000.00,132700.00,4035461.00,22.10,3898.00,4805000000.00,1.79,4.20
Switzerland,"41,290",9.77," $40,950,000,000.00 ",8.48,"54,530,000,000"," 63,470,000,000.00 "," $130,700,000,000.00 "," $251,900,000,000.00 "," $33,800.00 ",1.8," 71,212 "," $121,100,000,000.00 ",4.70,4.39,0.90,2556000.00,20.40,3770000.00,80.39,1.00,3093000000.00,290400.00,7489370.00,57.20,4533.00,69580000000.00,1.42,3.40
Haiti,"27,750",36.59," $(27,630,000.00)",12.34,"574,700,000"," 618,000,000.00 "," $338,100,000.00 "," $12,050,000,000.00 "," $1,500.00 ",-3.5," 4,160 "," $1,085,000,000.00 ",0.00,73.45,22.00,80000.00,0.00,3600000.00,52.92,0.90,0.00,11000.00,8121622.00,0.00,0.00,80640000.00,5.02,0.00
Guyana,"214,970",18.45," $(129,400,000.00)",8.32,"751,400,000"," 808,000,000.00 "," $570,200,000.00 "," $2,899,000,000.00 "," $3,800.00 ",1.9," 7,970 "," $650,100,000.00 ",7.10,33.26,4.50,125000.00,34.50,418000.00,65.50,0.90,0.00,11000.00,765283.00,0.00,187.00,280600000.00,2.05,0.00
Paraguay,"406,750",29.43," $(36,110,000.00)",4.53,"2,469,000,000"," 48,360,000,000.00 "," $2,936,000,000.00 "," $29,930,000,000.00 "," $4,800.00 ",2.8," 29,500 "," $3,330,000,000.00 ",0.00,25.63,5.10,120000.00,18.10,2660000.00,74.89,0.90,0.00,25000.00,6347884.00,39.20,441.00,1164000000.00,3.93,15.10
Kazakhstan,"2,717,300",15.78," $(39,020,000.00)",9.46,"62,210,000,000"," 66,820,000,000.00 "," $18,470,000,000.00 "," $118,400,000,000.00 "," $7,800.00 ",9.1," 82,980 "," $13,070,000,000.00 ",10.60,29.21,6.90,250000.00,23.90,7950000.00,66.55,0.90,14300000000.00,189400.00,15185844.00,13.70,13601.00,14350000000.00,1.89,8.00
Austria,"83,870",8.81," $(3,283,000,000.00)",9.7,"55,090,000,000"," 58,490,000,000.00 "," $102,700,000,000.00 "," $255,900,000,000.00 "," $31,300.00 ",1.9," 200,000 "," $101,200,000,000.00 ",3.30,4.66,1.80,3730000.00,22.60,3450000.00,78.92,0.90,7810000000.00,262400.00,8184691.00,64.20,6021.00,12730000000.00,1.36,4.40
Ireland,"70,280",14.47," $(2,881,000,000.00)",7.85,"21,780,000,000"," 22,880,000,000.00 "," $103,800,000,000.00 "," $126,400,000,000.00 "," $31,900.00 ",5.1," 95,736 "," $60,650,000,000.00 ",7.00,5.39,2.20,1260000.00,23.80,1920000.00,77.56,0.90,4199000000.00,174400.00,4015676.00,31.20,3312.00,4152000000.00,1.87,4.30
Mexico,"1,972,550",21.01," $(4,113,000,000.00)",4.73,"189,700,000,000"," 203,600,000,000.00 "," $182,400,000,000.00 "," $1,006,000,000,000.00 "," $9,600.00 ",4.1," 329,532 "," $190,800,000,000.00 ",3.80,20.91,5.40,10033000.00,19.40,34730000.00,75.19,0.90,55100000000.00,1752000.00,106202903.00,23.50,19510.00,60670000000.00,2.45,3.20
Sao Tome and Principe,"1,001",40.8," $(31,500,000.00)",6.68,"15,810,000"," 17,000,000.00 "," $6,700,000.00 "," $214,000,000.00 "," $1,200.00 ",6, 320 ," $41,000,000.00 ",0.00,43.11,14.00,15000.00,31.50,0.00,66.99,0.80,0.00,700.00,187410.00,0.00,0.00,29780000.00,5.71,0.00
Nigeria,"923,768",40.65," $5,228,000,000.00 ",17.18,"18,430,000,000"," 19,850,000,000.00 "," $33,990,000,000.00 "," $125,700,000,000.00 "," $1,000.00 ",6.2," 194,394 "," $17,140,000,000.00 ",1.80,98.80,16.50,750000.00,18.00,55670000.00,46.74,0.80,7850000000.00,275000.00,128771988.00,20.00,3557.00,14710000000.00,5.53,0.00
Guatemala,"108,890",34.11," $(1,381,000,000.00)",6.81,"5,760,000,000"," 6,608,000,000.00 "," $2,911,000,000.00 "," $59,470,000,000.00 "," $4,200.00 ",2.6," 14,118 "," $7,770,000,000.00 ",4.10,35.93,7.20,400000.00,14.90,3680000.00,65.14,0.80,0.00,61000.00,14655189.00,32.00,886.00,3084000000.00,4.53,7.50
Malawi,"118,480",43.95," $(55,500,000.00)",23.39,"1,012,000,000"," 1,088,000,000.00 "," $503,400,000.00 "," $7,410,000,000.00 ", $600.00 ,4," 28,400 "," $521,100,000.00 ",1.40,103.32,12.00,36000.00,10.70,4500000.00,36.97,0.70,0.00,5400.00,12158924.00,228.30,797.00,160500000.00,5.98,0.00
Nicaragua,"129,494",24.88," $(843,100,000.00)",4.49,"2,318,000,000"," 2,553,000,000.00 "," $750,000,000.00 "," $12,340,000,000.00 "," $2,300.00 ",4," 18,712 "," $2,020,000,000.00 ",4.40,29.11,9.30,90000.00,28.00,1930000.00,70.33,0.70,0.00,25770.00,5465100.00,69.50,6.00,670000000.00,2.81,7.80
Malta,316,10.17," $(241,000,000.00)",8,"2,000,000,000"," 2,150,000,000.00 "," $2,625,000,000.00 "," $7,223,000,000.00 "," $18,200.00 ",1," 2,222 "," $3,407,000,000.00 ",0.00,3.89,2.90,120000.00,26.40,160000.00,78.86,0.70,0.00,20000.00,398534.00,0.00,0.00,2865000000.00,1.50,7.00
Ghana,"239,460",23.97," $83,870,000.00 ",10.84,"6,137,000,000"," 6,922,000,000.00 "," $3,010,000,000.00 "," $48,270,000,000.00 "," $2,300.00 ",5.4," 46,176 "," $3,699,000,000.00 ",3.80,51.43,13.00,170000.00,19.70,10240000.00,56.00,0.60,0.00,38000.00,21029853.00,0.00,953.00,1267000000.00,3.02,20.00
Trinidad and Tobago,"5,128",12.81," $1,548,000,000.00 ",9.37,"5,341,000,000"," 5,743,000,000.00 "," $6,671,000,000.00 "," $11,480,000,000.00 "," $10,500.00 ",5.7," 8,320 "," $4,650,000,000.00 ",7.20,24.31,3.30,138000.00,19.40,590000.00,68.91,0.60,13760000000.00,24000.00,1088644.00,54.40,0.00,2927000000.00,1.75,10.40
Georgia,"69,700",10.25," $(632,900,000.00)",9.09,"6,811,000,000"," 6,732,000,000.00 "," $909,400,000.00 "," $14,450,000,000.00 "," $3,100.00 ",9.5," 20,229 "," $1,806,000,000.00 ",3.00,18.59,5.50,150500.00,18.50,2100000.00,75.88,0.59,1160000000.00,31500.00,4677401.00,0.00,1612.00,231400000.00,1.41,17.00
Laos,"236,800",35.99," $(80,760,000.00)",11.83,"3,036,000,000"," 3,560,000,000.00 "," $365,500,000.00 "," $11,280,000,000.00 "," $1,900.00 ",6," 21,716 "," $579,500,000.00 ",9.70,85.22,12.30,15000.00,0.00,2600000.00,55.08,0.50,0.00,2750.00,6217141.00,0.00,0.00,193100000.00,4.77,5.70
Jamaica,"10,991",16.56," $(830,700,000.00)",5.37,"5,849,000,000"," 6,289,000,000.00 "," $1,679,000,000.00 "," $11,130,000,000.00 "," $4,100.00 ",1.9," 18,700 "," $3,624,000,000.00 ",-2.00,12.36,12.40,600000.00,32.00,1140000.00,76.29,0.40,0.00,66000.00,2731832.00,146.10,272.00,1400000000.00,1.95,15.00
Moldova,"33,843",15.27," $(148,400,000.00)",12.79,"4,605,000,000"," 3,876,000,000.00 "," $1,030,000,000.00 "," $8,581,000,000.00 "," $1,900.00 ",6.8," 12,719 "," $1,830,000,000.00 ",17.00,40.42,11.50,150000.00,17.10,1360000.00,65.18,0.40,2050000000.00,24000.00,4455421.00,63.40,1138.00,390000000.00,1.81,8.00
Costa Rica,"51,100",18.6," $(980,300,000.00)",4.33,"5,733,000,000"," 6,614,000,000.00 "," $6,184,000,000.00 "," $37,970,000,000.00 "," $9,600.00 ",3.9," 35,303 "," $7,842,000,000.00 ",3.10,9.95,11.50,800000.00,19.20,1810000.00,76.84,0.40,0.00,37000.00,4016173.00,58.00,950.00,1736000000.00,2.28,6.60
Gambia The,"11,300",39.86," $(16,400,000.00)",11.81,"83,990,000"," 90,310,000.00 "," $114,400,000.00 "," $2,799,000,000.00 "," $1,800.00 ",6," 2,700 "," $180,900,000.00 ",0.00,72.02,7.00,25000.00,25.30,400000.00,55.20,0.30,0.00,1900.00,1593256.00,0.00,0.00,113100000.00,5.38,0.00
Tanzania,"945,087",38.16," $(327,400,000.00)",16.71,"2,566,000,000"," 2,727,000,000.00 "," $1,248,000,000.00 "," $23,710,000,000.00 ", $700.00 ,5.8," 88,200 "," $1,972,000,000.00 ",8.40,98.54,5.40,250000.00,16.20,19000000.00,45.24,0.20,0.00,17000.00,36766356.00,5.00,3690.00,2175000000.00,5.06,0.00
Mauritius,"2,040",15.62," $284,100,000.00 ",6.83,"1,707,000,000"," 1,836,000,000.00 "," $2,012,000,000.00 "," $15,680,000,000.00 "," $12,800.00 ",4.7," 2,000 "," $2,245,000,000.00 ",8.00,15.03,4.50,150000.00,22.50,560000.00,72.38,0.20,0.00,21000.00,1230602.00,29.20,0.00,1676000000.00,1.96,10.80